,SourceColumns,SourceType,DestinationType,Matching
0,symbol,text,text,True
1,name,text,text,True
2,slug,text,text,True
3,logo,text,text,True
4,float_type,text,text,True
5,display_symbol,text,text,True
6,original_symbol,text,text,True
7,source,text,text,True
8,temporary_data_delay,boolean,boolean,True
9,number_of_active_market_pairs,integer,integer,True
10,high_24h,float,float,True
11,low_24h,float,float,True
12,high_7d,float,float,True
13,low_7d,float,float,True
14,high_30d,float,float,True
15,low_30d,float,float,True
16,high_1y,float,float,True
17,low_1y,float,float,True
18,high_ytd,float,float,True
19,low_ytd,float,float,True
20,price_24h,float,float,True
21,price_7d,float,float,True
22,price_30d,float,float,True
23,price_1y,float,float,True
24,price_ytd,float,float,True
25,percentage_24h,float,float,True
26,percentage_7d,float,float,True
27,percentage_30d,float,float,True
28,percentage_1y,float,float,True
29,percentage_ytd,float,float,True
30,market_cap,float,float,True
31,market_cap_percent_change_1d,float,float,True
32,market_cap_percent_change_7d,float,float,True
33,market_cap_percent_change_30d,float,float,True
34,market_cap_percent_change_1y,float,float,True
35,market_cap_percent_change_ytd,float,float,True
36,circulating_supply,numeric,numeric,True
37,supply,numeric,numeric,True
38,all_time_low,float,float,True
39,all_time_high,float,float,True
40,date,timestamptz,timestamptz,True
41,change_value_24h,float,float,True
42,listed_exchange,ARRAY,ARRAY,True
43,market_pairs,json,json,True
44,exchanges,json,json,True
45,nomics,json,json,True
46,forbes,json,json,True
47,last_updated,timestamptz,timestamptz,True
