,Source,Destination,Matching
0,coingecko_assets,coingecko_assets,True
1,coingecko_asset_metadata,coingecko_asset_metadata,True
2,coingecko_exchanges,coingecko_exchanges,True
3,coingecko_exchanges_tickers,coingecko_exchanges_tickers,True
4,coingecko_exchange_metadata,coingecko_exchange_metadata,True
5,fundamentals,fundamentals,True
6,exchange_fundamentals,exchange_fundamentals,True
7,nomics_chart_data,nomics_chart_data,True
8,fundamentalslatest,fundamentalslatest,True
9,exchange_fundamentalslatest,exchange_fundamentalslatest,True
10,,exchanges,False
11,,coingecko_counthistory,False
12,,_chart,False
13,,forbes_assets,False
14,,repository_insights,False
15,,fundamentalslatestcg,False
16,,chartdata,False
17,,fundamentalscg,False
18,,github_insights,False
